component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,4,0,1.6123289242386818e-05,1.4907028344168793e-05,1.2162602160969982e-06,-99.47222900390625,-89.83972930908203,-99.95817565917969,1.14967242552666e-05,1.0904599548666738e-05,20207.326171875,22029.734375
resid_post,4,1,0.0006954605923965573,5.4709980759071186e-05,0.0006407506298273802,-77.23515319824219,-62.71099853515625,-77.96788024902344,0.001386853284202516,0.00023569646873511374,4218.30810546875,13899.052734375
resid_post,4,2,6.112956180004403e-05,2.1115172785357572e-05,4.0014387195697054e-05,-97.99901580810547,-85.60840606689453,-98.62411499023438,0.00012772329500876367,3.0239025363698602e-05,7060.48095703125,14024.1767578125
resid_post,4,3,8.027066360227764e-05,3.4297758247703314e-05,4.5972901716595516e-05,-97.3724594116211,-76.62347412109375,-98.41922760009766,0.00015722820535302162,3.871843364322558e-05,6229.0078125,14109.4482421875
resid_post,4,4,4.562035610433668e-05,3.556439696694724e-05,1.0055964594357647e-05,-98.50668334960938,-75.7601547241211,-99.65422058105469,2.9174865630920976e-05,2.0461156964302063e-05,7344.5361328125,10969.2763671875
resid_post,4,5,0.04145457223057747,0.0008824932156130672,0.04057207703590393,1256.9525146484375,501.4861145019531,1295.065185546875,0.03195067122578621,0.0015943495091050863,2074.87939453125,3193.786865234375
resid_post,4,6,9.403954754816368e-05,0.0008147108601406217,-0.0007206712034530938,-96.9217529296875,455.2873229980469,-124.78018188476562,0.00028561369981616735,0.0007398523739539087,5405.453125,19.870834350585938
resid_post,4,7,3.766142253880389e-05,3.766976442420855e-05,-8.33826785395786e-09,-98.7672119140625,-74.3251953125,-100.00028991699219,1.4010106497153174e-05,1.409227024851134e-05,7665.59521484375,7354.6806640625
resid_post,4,8,1.7492529877927154e-06,1.48278388678591e-06,2.6646910100680543e-07,-99.94274139404297,-98.98937225341797,-99.9908447265625,9.5176083050319e-06,8.009510565898381e-06,196.5435028076172,263.63775634765625
resid_post,4,9,0.00012553046690300107,3.214410025975667e-05,9.338637028122321e-05,-95.89096069335938,-78.09135437011719,-96.78892517089844,0.00018297135829925537,5.128099292051047e-05,3118.084228515625,14049.853515625
