label,cp_mean - mem_mean,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L2H7,-0.000355964,-0.006664303597062826,-0.007020267192274332,0.0003559643810149282,0.03766106814146042,0.037818968296051025,0.04239102825522423
L2H8,0.000971403,0.056872520595788956,0.057843923568725586,-0.0009714050684124231,0.0492439828813076,0.054581645876169205,0.06556408107280731
L2H9,-0.000465207,-0.057231057435274124,-0.05769626423716545,0.0004652126517612487,0.05293107405304909,0.05134382098913193,0.06042458862066269
L2H10,-0.001238964,-0.08012837916612625,-0.08136734366416931,0.001238965429365635,0.07043591141700745,0.07335738837718964,0.09433405101299286
L2H11,0.001529563,-0.01500440202653408,-0.013474838808178902,-0.0015295614721253514,0.04207650572061539,0.049434829503297806,0.059285689145326614
L3H0,-0.002158914,0.045060109347105026,0.04290119558572769,0.0021589118987321854,0.037165507674217224,0.039514631032943726,0.03804202005267143
L3H1,-0.00119939,0.01376534067094326,0.012565950863063335,0.0011993901571258903,0.030531851574778557,0.02933903969824314,0.0331575870513916
L3H2,-0.000605755,0.03376990929245949,0.03316415473818779,0.000605753913987428,0.03583814576268196,0.03391571342945099,0.04308256879448891
L3H3,-0.000184629,0.03712001442909241,0.036935385316610336,0.00018463106243871152,0.047696467489004135,0.05164310336112976,0.06090361997485161
L3H4,0.003436077,-0.028881236910820007,-0.025445159524679184,-0.003436075057834387,0.037858448922634125,0.04322073608636856,0.0438658744096756
L3H5,-0.005097222,0.035051602870225906,0.02995438128709793,0.005097224377095699,0.03147471323609352,0.031119374558329582,0.03373587131500244
L3H6,-0.003188186,-0.011743255890905857,-0.014931442216038704,0.003188184229657054,0.03564255312085152,0.03865624591708183,0.04387208819389343
L3H7,-0.001859196,-0.04563296586275101,-0.04749216139316559,0.0018591919215396047,0.045935001224279404,0.045671410858631134,0.054423633962869644
L3H8,-0.004525974,0.04358541592955589,0.03905944153666496,0.004525971133261919,0.03613121435046196,0.0389915332198143,0.03741903975605965
L3H9,0.000338703,0.019731253385543823,0.02006995677947998,-0.0003387052856851369,0.03257353603839874,0.032229844480752945,0.03664124011993408
L3H10,0.004915897,-0.059958502650260925,-0.055042605847120285,-0.004915894940495491,0.03517361730337143,0.041019219905138016,0.04876669496297836
L3H11,-0.000345498,0.02283354103565216,0.02248804271221161,0.0003454995749052614,0.0339851938188076,0.03689446672797203,0.04292650893330574
L4H0,-0.000376716,0.032901257276535034,0.03252454102039337,0.00037671858444809914,0.03168191388249397,0.03144402429461479,0.03546467050909996
L4H1,0.000555404,0.037146031856536865,0.03770143538713455,-0.0005554042872972786,0.037227608263492584,0.038422759622335434,0.03921084851026535
L4H2,-5.22226E-05,-0.0009312998154200613,-0.0009835223900154233,5.2222116210032254e-05,0.030629761517047882,0.03162025660276413,0.03699357062578201
L4H3,-0.003565294,-0.007807832211256027,-0.011373125948011875,0.0035652925726026297,0.050954606384038925,0.050187405198812485,0.055687494575977325
L4H4,0.00586364,-0.04296476021409035,-0.03710111975669861,-0.005863639060407877,0.04258691892027855,0.04129153862595558,0.04775703325867653
L4H5,-0.000887431,-0.0017141113057732582,-0.002601542277261615,0.0008874310879036784,0.022845417261123657,0.022929757833480835,0.024741491302847862
L4H6,-0.007851966,0.025019876658916473,0.017167910933494568,0.007851965725421906,0.050383105874061584,0.05029872804880142,0.05730460584163666
L4H7,0.001450365,-0.020815903320908546,-0.01936553791165352,-0.0014503649435937405,0.07634114474058151,0.08026853203773499,0.08724679052829742
L4H8,-0.000506944,-0.010847830213606358,-0.011354774236679077,0.0005069426260888577,0.04012620821595192,0.04103652760386467,0.038689471781253815
L4H9,0.000930827,0.038620151579380035,0.03955097869038582,-0.000930826528929174,0.04302750155329704,0.046173542737960815,0.05350664258003235
L4H10,-7.03994E-05,-0.0027256577741354704,-0.0027960571460425854,7.039928459562361e-05,0.02838057465851307,0.028159448876976967,0.028967447578907013
L4H11,-0.000300245,-0.01568295992910862,-0.015983205288648605,0.0003002459416165948,0.04495128244161606,0.04749148711562157,0.06251096725463867
L5H0,0.023718864,0.14961397647857666,0.1733328402042389,-0.023718835785984993,0.07394824177026749,0.07621797174215317,0.07769100368022919
L5H1,0.302496582,0.1978311836719513,0.5003277659416199,-0.30249664187431335,0.20011737942695618,0.21307775378227234,0.2126598060131073
