label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L4H9,4,2.026737820415292e-05,2.0136532839387655e-05,-1.3084569161492254e-07,1.161426098406082e-06,8.869622547535982e-07,1.0627013580233324e-06
L4H9,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L4H9,6,2.1009303964092396e-05,2.097103242704179e-05,-3.827111783039072e-08,1.305633759329794e-06,1.382146479045332e-06,1.6305226608892553e-06
L4H9,7,2.0756657249876298e-05,2.0719406165881082e-05,-3.725189756664804e-08,1.1181259651493747e-06,1.0311937330698129e-06,1.3879139260097872e-06
L4H9,8,7.476700147890369e-07,7.449189638464304e-07,-2.750918826066595e-09,3.81837526219897e-06,3.804793550443719e-06,8.127674533398022e-08
L4H9,9,2.015633072005585e-05,2.0150646378169768e-05,-5.685297121971189e-09,6.509283139166655e-07,5.954463517809927e-07,7.768609862068843e-07
L4H9,10,1.5935960618662648e-05,1.5901805454632267e-05,-3.415608063050968e-08,8.228770639107097e-06,8.205089216062333e-06,6.666768967988901e-07
L4H9,11,2.030155883403495e-05,2.025381036219187e-05,-4.7747072073889285e-08,6.41306655779772e-07,5.410429935182037e-07,7.510582804570731e-07
L4H9,12,1.9660499674500898e-05,1.9618350052041933e-05,-4.2149746803943344e-08,3.78740105588804e-06,3.762036840271321e-06,8.376406412935467e-07
L4H9,13,2.0673725884989835e-05,2.0695926650660113e-05,2.220126837926273e-08,8.966815698840946e-07,9.666964615462348e-07,1.121207105825306e-06
L4H10,0,1.967504431377165e-05,1.966638956218958e-05,-8.653053384932718e-09,5.326884320311365e-07,5.612021141132573e-07,5.622032404062338e-07
L4H10,1,1.9538900232873857e-05,1.9633685951703228e-05,9.478506513005414e-08,7.288555821105547e-07,7.588619723719603e-07,7.28586314835411e-07
L4H10,2,1.5474755855393596e-05,1.5567242371616885e-05,9.248643806358814e-08,8.002632057468873e-06,8.051207259995863e-06,7.370009598162142e-07
